"seq","patent","publication","title","status","local_file","source_url","note"
"1","63/943,642","","An Interpretable Patent Quality Evaluation Method and System Based on Large Language Model","not_publicly_available_yet","","https://scholars.cityu.edu.hk/en/publications/an-interpretable-patent-quality-evaluation-method-and-system-base/","US provisional application; no public publication/PDF found; USPTO public PDF lookup returned 404"
"2","63/943,652","","University Patent Recommendation Technology Based on Heterogeneous Data Fusion and Dynamic Attention Mechanism","not_publicly_available_yet","","https://scholars.cityu.edu.hk/en/publications/university-patent-recommendation-technology-based-on-heterogeneou/","US provisional application; no public publication/PDF found; USPTO public PDF lookup returned 404"
"3","202311610584.X","CN117950627A","Intelligent traceability and fake news prevention system and prevention method","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\03_CN117950627A.pdf","https://patentimages.storage.googleapis.com/1b/03/bf/aa2b0b701173c4/CN117950627A.pdf",""
"4","202410997112.2","CN119563958A","Bionic thermal regulating fabric and method for constructing same","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\04_CN119563958A.pdf","https://patentimages.storage.googleapis.com/a6/6a/46/58f21714e8d69d/CN119563958A.pdf",""
"5","US12,571,139","US12571139B2","Biomimetic Thermal Regulating Fabric and Method for Constructing the Same","downloaded_official_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\05_US12571139B2_USPTO.pdf","https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/12571139","Also saved published application PDF: 05_US20250075383A1.pdf"
"6","17/664,897","US20230385365A1","Prime-Number-Based Parallel Solver For Engineering Design Optimization Problems Of Polynomial Forms With Integer Variables","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\06_US20230385365A1.pdf","https://patentimages.storage.googleapis.com/01/64/b4/3e110ff2abf943/US20230385365A1.pdf",""
"7","ZL202010876210.2","CN112137620B","Human Body Weak Respiratory Signal Detection Method Based on Ultra-wideband Radar","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\07_CN112137620B.pdf","https://patentimages.storage.googleapis.com/98/2f/63/6156ea03bc0fc4/CN112137620B.pdf",""
"8","ZL202010902081.X","CN114117510B","Random private-key storage/calling method and device","downloaded_application_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\08_CN114117510A.pdf","https://patentimages.storage.googleapis.com/b5/df/5b/38e7e54a4d7eba/CN114117510A.pdf","Google Patents did not expose a B-version PDF; using A-version PDF only; do not archive Google Patents HTML because it can contain embedded public API keys."
"9","ZL202011162057.3","CN114513317B","Anti-distributed denial-of-service attack method/system/device/storage medium","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\09_CN114513317B.pdf","https://patentimages.storage.googleapis.com/a2/b1/d5/e46e589ab48be8/CN114513317B.pdf",""
"10","202010829799.0","CN114077631A","Data interaction method and middleware system for blockchain application system middleware","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\10_CN114077631A.pdf","https://patentimages.storage.googleapis.com/8e/06/b2/b97c1ebdcb28d7/CN114077631A.pdf",""
"11","US11386164","US11386164B2","Searching Electronic Documents Based on Example-based Search Query","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\11_US11386164B2.pdf","https://patentimages.storage.googleapis.com/5b/97/49/c490b4b919a741/US11386164.pdf",""
"12","ZL201811268263.5","CN111104831B","Visual Tracking Method And Device, Computer Equipment And Medium","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\12_CN111104831B.pdf","https://patentimages.storage.googleapis.com/96/e9/f1/d120236c05d14a/CN111104831B.pdf",""
"13","ZL201811271410.4","CN111098849B","New Energy Automobile Stability Control Method And System","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\13_CN111098849B.pdf","https://patentimages.storage.googleapis.com/aa/3b/12/53f63c23297340/CN111098849B.pdf",""
"14","US10,747,759","US10747759B2","A System and Method for Conducting a Textual Data Search","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\14_US10747759B2.pdf","https://patentimages.storage.googleapis.com/4f/e2/dc/51fb8fd7d2a4ec/US10747759.pdf",""
"15","US10,432,907","US10432907B2","An Electronic System for Creating an Image and a Method of Creating an Image","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\15_US10432907B2.pdf","https://patentimages.storage.googleapis.com/e1/30/c3/78c398b7777607/US10432907.pdf",""
"16","D738,319","USD738319S1","Light Sensor","downloaded_pdf","D:\OneDrive\CITYU\AIReC\patent_originals\16_USD738319S1.pdf","https://patentimages.storage.googleapis.com/9a/56/e4/d256ba1bbd4497/USD738319.pdf",""
